fdate,market_volume,ln_market_volume
2001-04-10,1349600000,21.023074089196033
2001-04-11,1290300000,20.978140586422075
2001-04-12,1102000000,20.820392547677134
2001-04-16,913900000,20.63323171424243
2001-04-17,1109600000,20.827265426964896
2001-04-18,1918900000,21.37501794213997
2001-04-19,1486800000,21.11989199638737
2001-04-20,1338700000,21.014964830756128
2001-04-23,1012600000,20.735787117500085
2001-04-24,1216500000,20.91924372018785
2001-04-25,1203600000,20.908582902720163
2001-04-26,1345200000,21.01980853783039
2001-04-27,1091300000,20.810635483083317
2001-04-30,1266800000,20.95975987262876
2001-05-01,1181300000,20.889881363918747
2001-05-02,1342200000,21.017575895688413
2001-05-03,1137900000,20.852450295327237
2001-05-04,1082100000,20.802169434541877
2001-05-07,949000000,20.670919356574203
2001-05-08,1006300000,20.729546074903563
2001-05-09,1132400000,20.847605111202018
2001-05-10,1056700000,20.778416681411258
2001-05-11,906200000,20.62477059019731
2001-05-14,858200000,20.5703477305217
2001-05-15,1071800000,20.792605315025025
2001-05-16,1405300000,21.063516640070972
2001-05-17,1355600000,21.02750999769717
2001-05-18,1130800000,20.84619118378371
2001-05-21,1174900000,20.8844488745378
2001-05-22,1260400000,20.954694967847395
2001-05-23,1134800000,20.84972226089897
2001-05-24,1100700000,20.81921217799362
2001-05-25,828100000,20.53464447800393
2001-05-29,1026000000,20.74893358369499
2001-05-30,1158600000,20.870478216626797
2001-05-31,1226600000,20.92751195115616
2001-06-01,1015000000,20.738154449440163
2001-06-04,836500000,20.544737078391154
2001-06-05,1116800000,20.833733289972383
2001-06-06,1061900000,20.783325593374073
2001-06-07,1089600000,20.809076493359523
2001-06-08,726200000,20.40333601694451
2001-06-11,870100000,20.584118705536252
2001-06-12,1136500000,20.85121920125687
2001-06-13,1063600000,20.78492521733314
2001-06-14,1242900000,20.94071319571574
2001-06-15,1635550000,21.215244976166023
2001-06-18,1111600000,20.829066255832622
2001-06-19,1184900000,20.89292421978697
2001-06-20,1350100000,21.023444500727475
2001-06-21,1546820000,21.15946704753366
2001-06-22,1189200000,20.896546649088215
2001-06-25,1050100000,20.772151234676222
2001-06-26,1198900000,20.904670306677883
2001-06-27,1162100000,20.8734945501931
2001-06-28,1327300000,21.00641264059643
2001-06-29,1832360000,21.328870590443685
2001-07-02,1128300000,20.843977912108674
2001-07-03,622110000,20.248627483942133
2001-07-05,934900000,20.655950129661544
2001-07-06,1056700000,20.778416681411258
2001-07-09,1045700000,20.767952354568816
2001-07-10,1263800000,20.95738889230363
2001-07-11,1384100000,21.048315945866932
2001-07-12,1394000000,21.055443149284745
2001-07-13,1121700000,20.838111228615453
2001-07-16,1039800000,20.76229422391389
2001-07-17,1238100000,20.93684378339092
2001-07-18,1316300000,20.998090607395635
2001-07-19,1343500000,21.01854398601982
2001-07-20,1170900000,20.881038520818954
2001-07-23,986900000,20.710079275142235
2001-07-24,1198700000,20.90450347317733
2001-07-25,1280700000,20.9706726403963
2001-07-26,1213900000,20.91710415386803
2001-07-27,1015300000,20.73844997227145
2001-07-30,909100000,20.627965657092087
2001-07-31,1129200000,20.84477525434361
2001-08-01,1340300000,21.016159306448724
2001-08-02,1218300000,20.920722281324636
2001-08-03,939900000,20.66128404459053
2001-08-06,811700000,20.514641371731404
2001-08-07,1012000000,20.735194407811687
2001-08-08,1124600000,20.840693253822376
2001-08-09,1104200000,20.822386927814218
2001-08-10,960900000,20.683380903247496
2001-08-13,837600000,20.546051217520603
2001-08-14,964600000,20.687224065599146
2001-08-15,1065600000,20.7868038577504
2001-08-16,1055400000,20.77718567893584
2001-08-17,974300000,20.69722982239557
2001-08-20,897100000,20.61467789652951
2001-08-21,1041600000,20.76402382941858
