PERMNO,COMNAM,TICKER,Notes
10251,FLAGSHIP FINANCIAL CORP,FLGF,Company name and Ticker updated on 1989-06-30
10252,INDEPENDENT BANK CORP MA,INDB,Original record
10253,THOROUGHBREDS USA INC,TUSA,Original record
10253,DOCUMENT SECURITY SYSTEMS INC,DMC,Company name and Ticker updated on 2004-04-30
10253,DOCUMENT SECURITY SYSTEMS INC,DSS,Ticker updated on 2011-07-29
10253,D S S INC,DSS,Company name updated on 2021-10-29
10254,STERLING INC,STRL,Original record
10255,VERTICOM INC,VERT,Original record
10256,OLD DOMINION SYSTEM INC,ODSI,Original record
10256,MICROLOG CORP,MLOG,Company name and Ticker updated on 1989-10-31
10257,DIGITAL SOLUTIONS INC,DGSI,Original record
10257,TEAMSTAFF INC,TSTF,Company name and Ticker updated on 1999-02-26
10257,D L H HOLDINGS CORP,DLHC,Company name and Ticker updated on 2012-06-29
10258,T CELL SCIENCES INC,TCEL,Original record
10258,AVANT IMMUNOTHERAPEUTICS INC,AVAN,Company name and Ticker updated on 1998-08-31
10258,CELLDEX THERAPEUTICS INC,CLDX,Company name and Ticker updated on 2008-10-31
10259,SIGMA DESIGNS INC,SIGM,Original record
10260,ALLSTAR VIDEO INC,ASVD,Original record
10261,MOUNTAINEER BANKSHARES WV,MTNR,Original record
10262,COGNITIVE SYSTEMS INC,CSAI,Original record
10263,LOWELL INSTITUTION FOR SAVINGS,LIFS,Original record
10263,MERRIMACK BANCORP INC MA,MRMK,Company name and Ticker updated on 1987-10-30
10264,UNIVATION INC,UNIV,Original record
10265,F & M FINANCIAL SVCS CORP,FMFS,Original record
